Numero,Kohtaaminen
46,"Sotakone: d100 sotilasta kuljettamassa tykkejä tai vastaavia paikasta toiseen."
47,"Slügi!"
48,"Rottaihmishybridejä: d20 mutanttia päivänvalossa."
49,"Tulva: lähikorttelit jäävät veden alle joko pysyvästi tai hetkellisen aallon kohteeksi."
50,"Maxwellin agentteja. d20 katulasta, joita johtaa tatuoitu Elmiina-tyttö (12 v.)."
51,"Lojumaan jäänyttä tavaraa: 1/2 mundista tarviketta tai ryöstösaalista."
52,"Yksinäinen soturi: 5 HD kaaosritari etsimässä elämänsä tarkoitusta."
53,"Raatoja: tusinoittain sotilaita, eläimiä ja siviilejä teurastettiin täällä."
54,"Hirviö: monikätinen miekkaileva kivihirviö Tomppelien tuhon syvyyksistä."
55,"Sotilaita: d100 kaupunginvartioston jäsentä."
56,"Kuvainraastajia: d20 anarkistia maalailemassa graffiteja seiniin."
57,"Sotaa protestoivia siviilejä, d100."
58,"Joop van Ooms itse, puuhastelemassa jonkin pasifistiprojektinsa kanssa. Ei ikinä yksin."
59,"Ihmissusi, joka ei kestä tilannetta henkisesti. Syvästi uskonnollinen."
60,"Merimiehiä jumissa, d20, haluavat laivalleen."
61,"Taikuutta niistänyt onneton, eri väreissä liekehtivä ihmisraunio joka sylkee epätodellisuutta ympärilleen."
62,"Tykistökeskitys: talot ympärillä rytisevät ja säleitä lentelee, kun paikalle osuu pitempi pommitus."
63,"Lappuja jakavia paskoja filosofeja. Näitä ei pysäytä edes sota."
64,"Protestantteja: oikeasti kumouksellisia kirkonmiehiä, sotilaita, kansalaisia. d100 uskonpuhdistajaa."
65,"Espanjalaisia: d20 neuvottelijaa, sotilasasiantuntijaa, kauppiasta..."
66,"Täysin arbitraarinen verotus: d20 sotilasta potkimassa heikompiaan. Huntti lärviin tai selkäsauna."
67,"Konservatiivisaarnaaja töissään vakuuttamassa laumaansa. Kaikki normalisoituu pian, oikeesti."
68,"Rikottu talo, sisällä selvästi arvoesineistöä."
69,"Dullahanin agentteja: d20 Druincarnhin palvelijaa operaatiolla."
70,"Dolwinisteja: d20 uuden maailman airutta nauttimassa esityksestä."
71,"Hirviöntappajia: d10 kokenutta metsästäjää kostoretkellä, vähintään F1 kaikki."
72,"Tautitarkastus: d20 sotilasta polttohautaamassa sairaita."
73,"Huoltokuljetus: d6 kärryä ruokaa, aseita ja lääketarpeita matkalla leireihin. Miehiä puolen tusinaa per kärry."
74,"Mobiili lääkintäjoukko, 2d6 benediktiinisisarta sairaalalta sekä 2d6 vapaaehtoista turvamiestä."
75,"Itsejulistautunut Follannin kuningas joukkoineen, d100 tukijaa."
76,"Maxwell itse. 12 HD, 77 HP, äijä on kurko."
77,"Seikkailijaseurue: d20 jäsentä, joista d6 on tasokkaita."
78,"Himmee handu: d10 rosvoa, 1/6 tulossa juuri isolta keikalta, 1/6 ovat kusessa."
79,"Suljettu tie: d20 sotilasta ja tykki."
80,"Duvan'Kun kuolonmerkki seinässä, tuoreeltaan maalattu."
81,"V-merkillä halottu ympyrägraffiti, se toinen salaseura."
82,"Räjähdyksen jälkeinen poltettu aukio, jonka keskellä istuu luita hiljalleen hikoileva nainen. Hajoaa käsiin."
83,"Joukko Verisen linnakkeen ritareita, d6 vampyyriritaria palvelijoineen nauttimassa elämästään."
84,"Pyhiinvaeltajia paskahalvauksen kourissa, d20. Yksi heistä on muodonmuuttaja, joka juuri söi Hermannin. Kukaan ei tiedä kuka."
85,"Sotavankeja: d20 sotilasta ja tuplamäärä vankeja menossa jonnekin."
86,"Poliisiratsia: jokainen kaivakoot paperit esiin tai tulee turpiin."
87,"Lähetti hevosella: kiireinen ja tärkeä viesti menossa johonkin."
88,"Lähetti juoksemassa: kiireinen ja tärkeä viesti menossa johonkin."
89,"Rahalähetys: d20 sotilasta ja kova halu suojella kassakirstua. d20*1000 hopiaa."
90,"Pakkovärväys: d20 kovistelijaa hakemassa lisää lihaa myllyyn."
91,"Orpolapsia: d20 katulasta, varkaita tai uhreja."
92,"Känninen rähinä: d20 osallista mukana, 1/6 aatelinen osallisena, 1/6 kirkon väkeä."
93,"Huijareita: on niin kortti- kuin muitakin uhkapelejä ja leikattua kamaa myynnissä."
94,"Salakuljettajia töissään, d20 tyyppiä lasteineen."
95,"Palkkamiekkoja, d100 omalta puolelta."
96,"Palkkamiekkoja, d100 tosi väärältä puolelta."
97,"Murha tapahtumassa, d6 osallistujaa."
98,"Akateemikkoja, 2d6, suojelus ei olisi pahitteeksi."
99,"Reipas ryöväys, d20 sotilasta."
100,"Kerjäläislauma, d20 raukkaa vailla latin latia."
