Numero,Saalis
67,"Nassakka piippukessua, monta kiloa, 500 hopeaa."
68,"Pikku pussi mausteita, 100 hopeaa."
69,"Yksittäinen suuri jalokivi, 600 hopeaa."
70,"Pussillinen kultahampaita, d100 esinettä 5 hopean hintoihin."
71,"Kultainen omena, 50 hopeaa."
72,"Hopealautasia, d20 kappaletta 20 hintoihin."
73,"Suuri arkullinen kolikoita, d6*1000 hopeaa."
74,"Tyhjä arpa, likapyykkiä."
75,"Roskapapereita, turhia vekseleitä."
76,"Hopeinen pyhimyspatsas, pieni, 100 hopeaa."
77,"Tynnyri eksoottisia kaloja, monta kiloa, d10*100 hopeaa."
78,"Omituinen pronssirengas riimumerkein, monta kiloa, myytävissä romumetallina 100 hopealla."
79,"Astrolaabi, myytävissä 100 hopealla."
80,"Pehmustettu nojatuoli, 50 hopeaa."
81,"Taskurahoja, d20 hopeaa."
82,"Norsunluinen shakkisetti, 100 hopeaa."
83,"Silkkiköysiä ja huiveja, d20*50 hopean edestä."
84,"Turkiksia, tavallisia, d20 esinettä 20 hopean hintoihin."
85,"Turkiksia, hienoja, d20 esinettä 40 hopean hintoihin."
86,"Turkiksia, eksoottisia, d20 esinettä 60 hopean hintoihin."
87,"Rintakuvapystejä, monta kiloa, d6 esinettä d6*10 hopean hintoihin."
88,"Poliittisesti vaarallisia pamfletteja."
89,"Värikkäitä ja kimaltelevia kivenlohkareita, monta kiloa, (d100-10)*10 hopean edestä."
90,"Kontillinen eksoottisia hedelmiä, hyvässä kunnossa, d6*100 maukasta yksilöä."
91,"Arvokas kirkkoristi, d6*100 hopeaa upotuksineen."
92,"Meripihkakoruja, d20 esinettä 30 hopean hintoihin."
93,"Meripihkalevy seinästä irrotettuna, hauras, 1000 hopeaa."
94,"Marmoripatsas, ihmisen kokoinen, 500 hopeaa."
95,"Lajitelma väkeviä juomia, d20 pulloa 20 hintoihin."
96,"Lehtikullattu divaani, 400 hopeaa."
97,"Pieni seinäpeili, 100 hopeaa kehyksineen."
98,"Hienoja vaatteita, d100 kappaletta 20 hopean hintoihin."
99,"Tiara, upotuksista riippuen hinnaltaan d20*100 hopeaa."
100,"Taikaesine muun romun joukossa."
